year;area;level2;level2_en;area_en;Level1;level1_en;value;numerator;denominator;type;name_numerator;name_denominator;Period
2015;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;270.9;210;75758;rate;number;inhabitants;2013-2017
2016;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;244.5;191;76149;rate;number;inhabitants;2013-2017
2014;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;346.1;266;75605;rate;number;inhabitants;2013-2017
2017;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;287.7;226;76167;rate;number;inhabitants;2013-2017
2013;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;238.1;181;75207;rate;number;inhabitants;2013-2017
2015;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;270.9;210;75758;rate;number;inhabitants;2013-2017
2016;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;244.5;191;76149;rate;number;inhabitants;2013-2017
2014;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;346.1;266;75605;rate;number;inhabitants;2013-2017
2017;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;287.7;226;76167;rate;number;inhabitants;2013-2017
2013;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;238.1;181;75207;rate;number;inhabitants;2013-2017
2015;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;270.9;210;75758;rate;number;inhabitants;2013-2017
2016;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;244.5;191;76149;rate;number;inhabitants;2013-2017
2014;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;346.1;266;75605;rate;number;inhabitants;2013-2017
2017;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;287.7;226;76167;rate;number;inhabitants;2013-2017
2013;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;238.1;181;75207;rate;number;inhabitants;2013-2017
2015;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;270.9;210;75758;rate;number;inhabitants;2013-2017
2016;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;244.5;191;76149;rate;number;inhabitants;2013-2017
2014;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;346.1;266;75605;rate;number;inhabitants;2013-2017
2017;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;287.7;226;76167;rate;number;inhabitants;2013-2017
2013;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;238.1;181;75207;rate;number;inhabitants;2013-2017
2015;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;270.9;210;75758;rate;number;inhabitants;2013-2017
2016;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;244.5;191;76149;rate;number;inhabitants;2013-2017
2014;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;346.1;266;75605;rate;number;inhabitants;2013-2017
2017;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;287.7;226;76167;rate;number;inhabitants;2013-2017
2013;1;1;Shoulder surgery (acromion resection);Finnmark;1;Day Surgery;238.1;181;75207;rate;number;inhabitants;2013-2017
2017;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;210.8;418;192407;rate;number;inhabitants;2013-2017
2014;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;249.2;479;189712;rate;number;inhabitants;2013-2017
2015;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;235.2;455;190500;rate;number;inhabitants;2013-2017
2013;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;219.5;417;188241;rate;number;inhabitants;2013-2017
2016;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;260.9;511;191730;rate;number;inhabitants;2013-2017
2017;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;210.8;418;192407;rate;number;inhabitants;2013-2017
2014;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;249.2;479;189712;rate;number;inhabitants;2013-2017
2015;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;235.2;455;190500;rate;number;inhabitants;2013-2017
2013;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;219.5;417;188241;rate;number;inhabitants;2013-2017
2016;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;260.9;511;191730;rate;number;inhabitants;2013-2017
2017;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;210.8;418;192407;rate;number;inhabitants;2013-2017
2014;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;249.2;479;189712;rate;number;inhabitants;2013-2017
2015;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;235.2;455;190500;rate;number;inhabitants;2013-2017
2013;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;219.5;417;188241;rate;number;inhabitants;2013-2017
2016;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;260.9;511;191730;rate;number;inhabitants;2013-2017
2017;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;210.8;418;192407;rate;number;inhabitants;2013-2017
2014;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;249.2;479;189712;rate;number;inhabitants;2013-2017
2015;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;235.2;455;190500;rate;number;inhabitants;2013-2017
2013;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;219.5;417;188241;rate;number;inhabitants;2013-2017
2016;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;260.9;511;191730;rate;number;inhabitants;2013-2017
2017;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;210.8;418;192407;rate;number;inhabitants;2013-2017
2014;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;249.2;479;189712;rate;number;inhabitants;2013-2017
2015;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;235.2;455;190500;rate;number;inhabitants;2013-2017
2013;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;219.5;417;188241;rate;number;inhabitants;2013-2017
2016;2;1;Shoulder surgery (acromion resection);UNN;1;Day Surgery;260.9;511;191730;rate;number;inhabitants;2013-2017
2014;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;166.8;237;136931;rate;number;inhabitants;2013-2017
2015;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;181.4;261;137343;rate;number;inhabitants;2013-2017
2017;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;185.6;272;138813;rate;number;inhabitants;2013-2017
