area;level2;level2_name;area_name;level1;level1_name;value;numerator;denominator;type;numerator_name;denominator_name;period
1;1;Alle konsultasjoner;Finnmark;1;Allmennlegetjenesten;5272.66;27024;5054;Rate;Antall;Innbyggere;2013-2015
2;1;Alle konsultasjoner;UNN;1;Allmennlegetjenesten;5927.34;81637;13700;Rate;Antall;Innbyggere;2013-2015
3;1;Alle konsultasjoner;Nordland;1;Allmennlegetjenesten;5815.4;63026;10815;Rate;Antall;Innbyggere;2013-2015
4;1;Alle konsultasjoner;Helgeland;1;Allmennlegetjenesten;5244.21;35488;6721;Rate;Antall;Innbyggere;2013-2015
5;1;Alle konsultasjoner;Nord-Trøndelag;1;Allmennlegetjenesten;5790.5;65203;11219;Rate;Antall;Innbyggere;2013-2015
6;1;Alle konsultasjoner;St. Olavs;1;Allmennlegetjenesten;5547.51;114103;20548;Rate;Antall;Innbyggere;2013-2015
7;1;Alle konsultasjoner;Møre og Romsdal;1;Allmennlegetjenesten;5905.31;122636;20861;Rate;Antall;Innbyggere;2013-2015
8;1;Alle konsultasjoner;Førde;1;Allmennlegetjenesten;5616.36;53196;9515;Rate;Antall;Innbyggere;2013-2015
9;1;Alle konsultasjoner;Bergen;1;Allmennlegetjenesten;5532.62;162212;29339;Rate;Antall;Innbyggere;2013-2015
10;1;Alle konsultasjoner;Fonna;1;Allmennlegetjenesten;5760.07;75941;13192;Rate;Antall;Innbyggere;2013-2015
11;1;Alle konsultasjoner;Stavanger;1;Allmennlegetjenesten;6233.01;119015;19056;Rate;Antall;Innbyggere;2013-2015
12;1;Alle konsultasjoner;Østfold;1;Allmennlegetjenesten;6041.46;132742;21830;Rate;Antall;Innbyggere;2013-2015
13;1;Alle konsultasjoner;Akershus;1;Allmennlegetjenesten;5843.33;169594;28648;Rate;Antall;Innbyggere;2013-2015
14;1;Alle konsultasjoner;OUS;1;Allmennlegetjenesten;5657.73;84397;15113;Rate;Antall;Innbyggere;2013-2015
15;1;Alle konsultasjoner;Innlandet;1;Allmennlegetjenesten;5704.33;200560;35111;Rate;Antall;Innbyggere;2013-2015
16;1;Alle konsultasjoner;Vestre Viken;1;Allmennlegetjenesten;6193.15;213606;34438;Rate;Antall;Innbyggere;2013-2015
17;1;Alle konsultasjoner;Vestfold;1;Allmennlegetjenesten;5922.06;106297;17862;Rate;Antall;Innbyggere;2013-2015
18;1;Alle konsultasjoner;Telemark;1;Allmennlegetjenesten;5186.99;73042;14098;Rate;Antall;Innbyggere;2013-2015
19;1;Alle konsultasjoner;Sørlandet;1;Allmennlegetjenesten;6214.16;126440;20283;Rate;Antall;Innbyggere;2013-2015
20;1;Alle konsultasjoner;Indre Oslo;1;Allmennlegetjenesten;5130.18;63710;12527;Rate;Antall;Innbyggere;2013-2015
8888;1;Alle konsultasjoner;Norge;1;Allmennlegetjenesten;5798.34;2089869;359928;Rate;Antall;Innbyggere;2013-2015
1;2;Fastlege;Finnmark;1;Allmennlegetjenesten;4317.83;22238;5054;Rate;Antall;Innbyggere;2013-2015
