area;level2;level2_en;area_en;Level1;level1_en;value;numerator;denominator;type;name_numerator;name_denominator;Period
1;1;All consultations;Finnmark;1;General practitioner service;5272.66;27024;5054;Rate;Number;Inhabitants;2013-2015
2;1;All consultations;UNN;1;General practitioner service;5927.34;81637;13700;Rate;Number;Inhabitants;2013-2015
3;1;All consultations;Nordland;1;General practitioner service;5815.4;63026;10815;Rate;Number;Inhabitants;2013-2015
4;1;All consultations;Helgeland;1;General practitioner service;5244.21;35488;6721;Rate;Number;Inhabitants;2013-2015
5;1;All consultations;Nord-Trøndelag;1;General practitioner service;5790.5;65203;11219;Rate;Number;Inhabitants;2013-2015
6;1;All consultations;St. Olavs;1;General practitioner service;5547.51;114103;20548;Rate;Number;Inhabitants;2013-2015
7;1;All consultations;Møre og Romsdal;1;General practitioner service;5905.31;122636;20861;Rate;Number;Inhabitants;2013-2015
8;1;All consultations;Førde;1;General practitioner service;5616.36;53196;9515;Rate;Number;Inhabitants;2013-2015
9;1;All consultations;Bergen;1;General practitioner service;5532.62;162212;29339;Rate;Number;Inhabitants;2013-2015
10;1;All consultations;Fonna;1;General practitioner service;5760.07;75941;13192;Rate;Number;Inhabitants;2013-2015
11;1;All consultations;Stavanger;1;General practitioner service;6233.01;119015;19056;Rate;Number;Inhabitants;2013-2015
12;1;All consultations;Østfold;1;General practitioner service;6041.46;132742;21830;Rate;Number;Inhabitants;2013-2015
13;1;All consultations;Akershus;1;General practitioner service;5843.33;169594;28648;Rate;Number;Inhabitants;2013-2015
14;1;All consultations;OUS;1;General practitioner service;5657.73;84397;15113;Rate;Number;Inhabitants;2013-2015
15;1;All consultations;Innlandet;1;General practitioner service;5704.33;200560;35111;Rate;Number;Inhabitants;2013-2015
16;1;All consultations;Vestre Viken;1;General practitioner service;6193.15;213606;34438;Rate;Number;Inhabitants;2013-2015
17;1;All consultations;Vestfold;1;General practitioner service;5922.06;106297;17862;Rate;Number;Inhabitants;2013-2015
18;1;All consultations;Telemark;1;General practitioner service;5186.99;73042;14098;Rate;Number;Inhabitants;2013-2015
19;1;All consultations;Sørlandet;1;General practitioner service;6214.16;126440;20283;Rate;Number;Inhabitants;2013-2015
20;1;All consultations;Inner Oslo;1;General practitioner service;5130.18;63710;12527;Rate;Number;Inhabitants;2013-2015
8888;1;All consultations;Norway;1;General practitioner service;5798.34;2089869;359928;Rate;Number;Inhabitants;2013-2015
1;2;Regular GP;Finnmark;1;General practitioner service;4317.83;22238;5054;Rate;Number;Inhabitants;2013-2015
2;2;Regular GP;UNN;1;General practitioner service;5368.84;74034;13700;Rate;Number;Inhabitants;2013-2015
3;2;Regular GP;Nordland;1;General practitioner service;5323.42;57734;10815;Rate;Number;Inhabitants;2013-2015
4;2;Regular GP;Helgeland;1;General practitioner service;4753.46;32207;6721;Rate;Number;Inhabitants;2013-2015
5;2;Regular GP;Nord-Trøndelag;1;General practitioner service;5277.94;59450;11219;Rate;Number;Inhabitants;2013-2015
6;2;Regular GP;St. Olavs;1;General practitioner service;5147.25;105879;20548;Rate;Number;Inhabitants;2013-2015
7;2;Regular GP;Møre og Romsdal;1;General practitioner service;5460.99;113293;20861;Rate;Number;Inhabitants;2013-2015
8;2;Regular GP;Førde;1;General practitioner service;5133.33;48560;9515;Rate;Number;Inhabitants;2013-2015
9;2;Regular GP;Bergen;1;General practitioner service;5078.24;148866;29339;Rate;Number;Inhabitants;2013-2015
10;2;Regular GP;Fonna;1;General practitioner service;5312.64;70030;13192;Rate;Number;Inhabitants;2013-2015
11;2;Regular GP;Stavanger;1;General practitioner service;5793.73;110668;19056;Rate;Number;Inhabitants;2013-2015
12;2;Regular GP;Østfold;1;General practitioner service;5617.25;123548;21830;Rate;Number;Inhabitants;2013-2015
13;2;Regular GP;Akershus;1;General practitioner service;5456.06;158633;28648;Rate;Number;Inhabitants;2013-2015
14;2;Regular GP;OUS;1;General practitioner service;5290.05;78751;15113;Rate;Number;Inhabitants;2013-2015
15;2;Regular GP;Innlandet;1;General practitioner service;5301.98;186421;35111;Rate;Number;Inhabitants;2013-2015
16;2;Regular GP;Vestre Viken;1;General practitioner service;5704.34;196767;34438;Rate;Number;Inhabitants;2013-2015
17;2;Regular GP;Vestfold;1;General practitioner service;5531.88;99357;17862;Rate;Number;Inhabitants;2013-2015
18;2;Regular GP;Telemark;1;General practitioner service;4699.03;66145;14098;Rate;Number;Inhabitants;2013-2015
19;2;Regular GP;Sørlandet;1;General practitioner service;5748.21;117028;20283;Rate;Number;Inhabitants;2013-2015
20;2;Regular GP;Inner Oslo;1;General practitioner service;4792.83;59403;12527;Rate;Number;Inhabitants;2013-2015
8888;2;Regular GP;Norway;1;General practitioner service;5350.93;1929011;359928;Rate;Number;Inhabitants;2013-2015
1;3;Emergency primary healthcare;Finnmark;1;General practitioner service;955.49;4785;5054;Rate;Number;Inhabitants;2013-2015
2;3;Emergency primary healthcare;UNN;1;General practitioner service;557.5;7582;13700;Rate;Number;Inhabitants;2013-2015
3;3;Emergency primary healthcare;Nordland;1;General practitioner service;491.44;5284;10815;Rate;Number;Inhabitants;2013-2015
4;3;Emergency primary healthcare;Helgeland;1;General practitioner service;490.92;3282;6721;Rate;Number;Inhabitants;2013-2015
5;3;Emergency primary healthcare;Nord-Trøndelag;1;General practitioner service;512.45;5751;11219;Rate;Number;Inhabitants;2013-2015
6;3;Emergency primary healthcare;St. Olavs;1;General practitioner service;399.68;8209;20548;Rate;Number;Inhabitants;2013-2015
7;3;Emergency primary healthcare;Møre og Romsdal;1;General practitioner service;444.45;9337;20861;Rate;Number;Inhabitants;2013-2015
8;3;Emergency primary healthcare;Førde;1;General practitioner service;481.42;4623;9515;Rate;Number;Inhabitants;2013-2015
9;3;Emergency primary healthcare;Bergen;1;General practitioner service;451.12;13247;29339;Rate;Number;Inhabitants;2013-2015
10;3;Emergency primary healthcare;Fonna;1;General practitioner service;447.25;5911;13192;Rate;Number;Inhabitants;2013-2015
11;3;Emergency primary healthcare;Stavanger;1;General practitioner service;439.04;8341;19056;Rate;Number;Inhabitants;2013-2015
12;3;Emergency primary healthcare;Østfold;1;General practitioner service;424.26;9186;21830;Rate;Number;Inhabitants;2013-2015
13;3;Emergency primary healthcare;Akershus;1;General practitioner service;386.1;10910;28648;Rate;Number;Inhabitants;2013-2015
