area;level2;level2_name;area_name;level1;level1_name;value;numerator;denominator;type;numerator_name;denominator_name;period
1;1;Proportion 39 years or older;Finnmark;1;Population;5.74;43;749;Proportion;Number;Births;2015-2017
2;1;Proportion 39 years or older;UNN;1;Population;4.86;95;1953;Proportion;Number;Births;2015-2017
3;1;Proportion 39 years or older;Nordland;1;Population;5.27;72;1373;Proportion;Number;Births;2015-2017
4;1;Proportion 39 years or older;Helgeland;1;Population;3.32;24;732;Proportion;Number;Births;2015-2017
5;1;Proportion 39 years or older;Nord-Trøndelag;1;Population;3.81;52;1372;Proportion;Number;Births;2015-2017
6;1;Proportion 39 years or older;St. Olavs;1;Population;4.57;164;3597;Proportion;Number;Births;2015-2017
7;1;Proportion 39 years or older;Møre og Romsdal;1;Population;4.48;121;2711;Proportion;Number;Births;2015-2017
8;1;Proportion 39 years or older;Førde;1;Population;4.69;51;1087;Proportion;Number;Births;2015-2017
9;1;Proportion 39 years or older;Bergen;1;Population;5.43;296;5443;Proportion;Number;Births;2015-2017
10;1;Proportion 39 years or older;Fonna;1;Population;3.47;69;1977;Proportion;Number;Births;2015-2017
11;1;Proportion 39 years or older;Stavanger;1;Population;4.49;215;4781;Proportion;Number;Births;2015-2017
12;1;Proportion 39 years or older;Østfold;1;Population;5.03;142;2832;Proportion;Number;Births;2015-2017
13;1;Proportion 39 years or older;Akershus;1;Population;6.78;365;5381;Proportion;Number;Births;2015-2017
14;1;Proportion 39 years or older;OUS;1;Population;8.27;334;4041;Proportion;Number;Births;2015-2017
15;1;Proportion 39 years or older;Lovisenberg;1;Population;7.37;194;2629;Proportion;Number;Births;2015-2017
16;1;Proportion 39 years or older;Diakonhjemmet;1;Population;8.74;150;1716;Proportion;Number;Births;2015-2017
17;1;Proportion 39 years or older;Innlandet;1;Population;5.13;178;3477;Proportion;Number;Births;2015-2017
18;1;Proportion 39 years or older;Vestre Viken;1;Population;6.72;323;4803;Proportion;Number;Births;2015-2017
19;1;Proportion 39 years or older;Vestfold;1;Population;5.05;110;2178;Proportion;Number;Births;2015-2017
20;1;Proportion 39 years or older;Telemark;1;Population;4.7;73;1553;Proportion;Number;Births;2015-2017
21;1;Proportion 39 years or older;Sørlandet;1;Population;4.21;134;3188;Proportion;Number;Births;2015-2017
