area;level2;level2_name;area_name;level1;level1_name;value;numerator;denominator;type;numerator_name;denominator_name;period
1;1;Postmenopausal bleeding;Finnmark;1;Diagnosis and assessment;98.26;137;13818;Rate;Number;Inhabitants;2015-2017
2;1;Postmenopausal bleeding;UNN;1;Diagnosis and assessment;114.92;413;36027;Rate;Number;Inhabitants;2015-2017
3;1;Postmenopausal bleeding;Nordland;1;Diagnosis and assessment;87.85;239;27320;Rate;Number;Inhabitants;2015-2017
4;1;Postmenopausal bleeding;Helgeland;1;Diagnosis and assessment;109.89;174;15997;Rate;Number;Inhabitants;2015-2017
5;1;Postmenopausal bleeding;Nord-Trøndelag;1;Diagnosis and assessment;92.75;245;26846;Rate;Number;Inhabitants;2015-2017
6;1;Postmenopausal bleeding;St. Olavs;1;Diagnosis and assessment;77.62;431;55561;Rate;Number;Inhabitants;2015-2017
7;1;Postmenopausal bleeding;Møre og Romsdal;1;Diagnosis and assessment;84.24;420;50391;Rate;Number;Inhabitants;2015-2017
8;1;Postmenopausal bleeding;Førde;1;Diagnosis and assessment;73.64;156;21462;Rate;Number;Inhabitants;2015-2017
9;1;Postmenopausal bleeding;Bergen;1;Diagnosis and assessment;94.95;714;75263;Rate;Number;Inhabitants;2015-2017
10;1;Postmenopausal bleeding;Fonna;1;Diagnosis and assessment;108.77;350;32368;Rate;Number;Inhabitants;2015-2017
11;1;Postmenopausal bleeding;Stavanger;1;Diagnosis and assessment;101.89;575;55954;Rate;Number;Inhabitants;2015-2017
12;1;Postmenopausal bleeding;Østfold;1;Diagnosis and assessment;99.99;578;58034;Rate;Number;Inhabitants;2015-2017
13;1;Postmenopausal bleeding;Akershus;1;Diagnosis and assessment;93.74;819;86884;Rate;Number;Inhabitants;2015-2017
14;1;Postmenopausal bleeding;OUS;1;Diagnosis and assessment;92.69;377;40513;Rate;Number;Inhabitants;2015-2017
15;1;Postmenopausal bleeding;Lovisenberg;1;Diagnosis and assessment;84.51;119;13700;Rate;Number;Inhabitants;2015-2017
16;1;Postmenopausal bleeding;Diakonhjemmet;1;Diagnosis and assessment;92.06;225;24517;Rate;Number;Inhabitants;2015-2017
17;1;Postmenopausal bleeding;Innlandet;1;Diagnosis and assessment;90.23;764;85637;Rate;Number;Inhabitants;2015-2017
18;1;Postmenopausal bleeding;Vestre Viken;1;Diagnosis and assessment;107.48;984;91536;Rate;Number;Inhabitants;2015-2017
19;1;Postmenopausal bleeding;Vestfold;1;Diagnosis and assessment;107.48;500;46631;Rate;Number;Inhabitants;2015-2017
20;1;Postmenopausal bleeding;Telemark;1;Diagnosis and assessment;107.58;381;35845;Rate;Number;Inhabitants;2015-2017
21;1;Postmenopausal bleeding;Sørlandet;1;Diagnosis and assessment;107.89;588;54515;Rate;Number;Inhabitants;2015-2017
8888;1;Postmenopausal bleeding;Norway;1;Diagnosis and assessment;96.86;9191;948819;Rate;Number;Inhabitants;2015-2017
1;2;Endometrial diagnosis;Finnmark;1;Diagnosis and assessment;120.24;365;30108;Rate;Number;Inhabitants;2015-2017
2;2;Endometrial diagnosis;UNN;1;Diagnosis and assessment;115.06;895;77413;Rate;Number;Inhabitants;2015-2017
3;2;Endometrial diagnosis;Nordland;1;Diagnosis and assessment;151.02;876;56144;Rate;Number;Inhabitants;2015-2017
4;2;Endometrial diagnosis;Helgeland;1;Diagnosis and assessment;145.46;471;31821;Rate;Number;Inhabitants;2015-2017
5;2;Endometrial diagnosis;Nord-Trøndelag;1;Diagnosis and assessment;87.08;486;54518;Rate;Number;Inhabitants;2015-2017
6;2;Endometrial diagnosis;St. Olavs;1;Diagnosis and assessment;89.81;1145;128837;Rate;Number;Inhabitants;2015-2017
7;2;Endometrial diagnosis;Møre og Romsdal;1;Diagnosis and assessment;75.36;793;104957;Rate;Number;Inhabitants;2015-2017
8;2;Endometrial diagnosis;Førde;1;Diagnosis and assessment;77.26;344;43540;Rate;Number;Inhabitants;2015-2017
9;2;Endometrial diagnosis;Bergen;1;Diagnosis and assessment;72.63;1273;178531;Rate;Number;Inhabitants;2015-2017
10;2;Endometrial diagnosis;Fonna;1;Diagnosis and assessment;80.34;568;70749;Rate;Number;Inhabitants;2015-2017
11;2;Endometrial diagnosis;Stavanger;1;Diagnosis and assessment;111.73;1555;140197;Rate;Number;Inhabitants;2015-2017
12;2;Endometrial diagnosis;Østfold;1;Diagnosis and assessment;95.2;1166;119927;Rate;Number;Inhabitants;2015-2017
13;2;Endometrial diagnosis;Akershus;1;Diagnosis and assessment;80.66;1642;201911;Rate;Number;Inhabitants;2015-2017
14;2;Endometrial diagnosis;OUS;1;Diagnosis and assessment;100.37;1052;109435;Rate;Number;Inhabitants;2015-2017
15;2;Endometrial diagnosis;Lovisenberg;1;Diagnosis and assessment;81.8;397;62639;Rate;Number;Inhabitants;2015-2017
16;2;Endometrial diagnosis;Diakonhjemmet;1;Diagnosis and assessment;90.57;516;59811;Rate;Number;Inhabitants;2015-2017
17;2;Endometrial diagnosis;Innlandet;1;Diagnosis and assessment;130.17;2191;166569;Rate;Number;Inhabitants;2015-2017
18;2;Endometrial diagnosis;Vestre Viken;1;Diagnosis and assessment;113.41;2264;196644;Rate;Number;Inhabitants;2015-2017
19;2;Endometrial diagnosis;Vestfold;1;Diagnosis and assessment;111.98;1096;95564;Rate;Number;Inhabitants;2015-2017
20;2;Endometrial diagnosis;Telemark;1;Diagnosis and assessment;117.71;863;71665;Rate;Number;Inhabitants;2015-2017
21;2;Endometrial diagnosis;Sørlandet;1;Diagnosis and assessment;98.16;1182;120307;Rate;Number;Inhabitants;2015-2017
8888;2;Endometrial diagnosis;Norway;1;Diagnosis and assessment;99.64;21139;2121287;Rate;Number;Inhabitants;2015-2017
1;3;Proportion curettages;Finnmark;1;Diagnosis and assessment;37.79;129;342;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
2;3;Proportion curettages;UNN;1;Diagnosis and assessment;18.21;162;881;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
3;3;Proportion curettages;Nordland;1;Diagnosis and assessment;12.28;102;850;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
4;3;Proportion curettages;Helgeland;1;Diagnosis and assessment;23.09;105;446;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
5;3;Proportion curettages;Nord-Trøndelag;1;Diagnosis and assessment;19.38;81;409;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
6;3;Proportion curettages;St. Olavs;1;Diagnosis and assessment;3.92;44;1119;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
7;3;Proportion curettages;Møre og Romsdal;1;Diagnosis and assessment;24.18;174;709;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
8;3;Proportion curettages;Førde;1;Diagnosis and assessment;27.35;78;280;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
9;3;Proportion curettages;Bergen;1;Diagnosis and assessment;17.87;208;1174;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
10;3;Proportion curettages;Fonna;1;Diagnosis and assessment;18.53;104;556;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
11;3;Proportion curettages;Stavanger;1;Diagnosis and assessment;23.74;348;1507;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
12;3;Proportion curettages;Østfold;1;Diagnosis and assessment;12.97;152;1139;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
13;3;Proportion curettages;Akershus;1;Diagnosis and assessment;13.78;208;1552;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
14;3;Proportion curettages;OUS;1;Diagnosis and assessment;8.55;81;1018;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
15;3;Proportion curettages;Lovisenberg;1;Diagnosis and assessment;11.78;37;380;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
16;3;Proportion curettages;Diakonhjemmet;1;Diagnosis and assessment;9.66;49;509;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
17;3;Proportion curettages;Innlandet;1;Diagnosis and assessment;19.57;411;2019;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
18;3;Proportion curettages;Vestre Viken;1;Diagnosis and assessment;16.45;348;2109;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
19;3;Proportion curettages;Vestfold;1;Diagnosis and assessment;16.88;184;1073;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
20;3;Proportion curettages;Telemark;1;Diagnosis and assessment;23.61;184;772;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
21;3;Proportion curettages;Sørlandet;1;Diagnosis and assessment;16.97;199;1167;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
