area;level3;level3_name;area_name;level2;level2_name;level1;level1_name;value;denominator;numerator;type;denominator_name;numerator_name;period
2;1;Less than 34.0 weeks;UNN/Finnmark;1;Patients;1;Admissions;885.7;315;279;rate;born;number;2009-2014
4;1;Less than 34.0 weeks;Nordland;1;Patients;1;Admissions;874.1;278;243;rate;born;number;2009-2014
7;1;Less than 34.0 weeks;Trøndelag;1;Patients;1;Admissions;868.8;587;510;rate;born;number;2009-2014
8;1;Less than 34.0 weeks;Møre og Romsdal;1;Patients;1;Admissions;845.4;291;246;rate;born;number;2009-2014
11;1;Less than 34.0 weeks;Bergen/Førde;1;Patients;1;Admissions;845.4;776;656;rate;born;number;2009-2014
12;1;Less than 34.0 weeks;Fonna;1;Patients;1;Admissions;836.2;293;245;rate;born;number;2009-2014
13;1;Less than 34.0 weeks;Stavanger;1;Patients;1;Admissions;887.5;640;568;rate;born;number;2009-2014
14;1;Less than 34.0 weeks;Østfold;1;Patients;1;Admissions;893.5;338;302;rate;born;number;2009-2014
15;1;Less than 34.0 weeks;AHUS;1;Patients;1;Admissions;886.2;668;592;rate;born;number;2009-2014
16;1;Less than 34.0 weeks;OUS;1;Patients;1;Admissions;816.2;1077;879;rate;born;number;2009-2014
19;1;Less than 34.0 weeks;Innlandet;1;Patients;1;Admissions;807.7;442;357;rate;born;number;2009-2014
20;1;Less than 34.0 weeks;Vestre Viken;1;Patients;1;Admissions;961.6;599;576;rate;born;number;2009-2014
21;1;Less than 34.0 weeks;Vestfold;1;Patients;1;Admissions;807.4;270;218;rate;born;number;2009-2014
22;1;Less than 34.0 weeks;Telemark;1;Patients;1;Admissions;834.6;260;217;rate;born;number;2009-2014
23;1;Less than 34.0 weeks;Sørlandet;1;Patients;1;Admissions;900.8;373;336;rate;born;number;2009-2014
8888;1;Less than 34.0 weeks;Norway;1;Patients;1;Admissions;863.6;7207;6224;rate;born;number;2009-2014
2;2;34.0 to 36.6 weeks;UNN/Finnmark;1;Patients;1;Admissions;490.7;697;342;rate;born;number;2009-2014
4;2;34.0 to 36.6 weeks;Nordland;1;Patients;1;Admissions;409.1;638;261;rate;born;number;2009-2014
7;2;34.0 to 36.6 weeks;Trøndelag;1;Patients;1;Admissions;407.9;1368;558;rate;born;number;2009-2014
8;2;34.0 to 36.6 weeks;Møre og Romsdal;1;Patients;1;Admissions;432.3;687;297;rate;born;number;2009-2014
11;2;34.0 to 36.6 weeks;Bergen/Førde;1;Patients;1;Admissions;347.8;1754;610;rate;born;number;2009-2014
12;2;34.0 to 36.6 weeks;Fonna;1;Patients;1;Admissions;585.8;664;389;rate;born;number;2009-2014
13;2;34.0 to 36.6 weeks;Stavanger;1;Patients;1;Admissions;387.9;1441;559;rate;born;number;2009-2014
14;2;34.0 to 36.6 weeks;Østfold;1;Patients;1;Admissions;506.7;827;419;rate;born;number;2009-2014
15;2;34.0 to 36.6 weeks;AHUS;1;Patients;1;Admissions;440.6;1598;704;rate;born;number;2009-2014
16;2;34.0 to 36.6 weeks;OUS;1;Patients;1;Admissions;422.9;2185;924;rate;born;number;2009-2014
19;2;34.0 to 36.6 weeks;Innlandet;1;Patients;1;Admissions;427.7;1176;503;rate;born;number;2009-2014
20;2;34.0 to 36.6 weeks;Vestre Viken;1;Patients;1;Admissions;415.8;1277;531;rate;born;number;2009-2014
21;2;34.0 to 36.6 weeks;Vestfold;1;Patients;1;Admissions;711.3;613;436;rate;born;number;2009-2014
22;2;34.0 to 36.6 weeks;Telemark;1;Patients;1;Admissions;636.2;481;306;rate;born;number;2009-2014
23;2;34.0 to 36.6 weeks;Sørlandet;1;Patients;1;Admissions;592.6;1004;595;rate;born;number;2009-2014
8888;2;34.0 to 36.6 weeks;Norway;1;Patients;1;Admissions;453;16410;7434;rate;born;number;2009-2014
2;3;More than 36.6 weeks (term infants);UNN/Finnmark;1;Patients;1;Admissions;54.7;16700;914;rate;born;number;2009-2014
4;3;More than 36.6 weeks (term infants);Nordland;1;Patients;1;Admissions;66.4;12705;844;rate;born;number;2009-2014
7;3;More than 36.6 weeks (term infants);Trøndelag;1;Patients;1;Admissions;55.8;29658;1654;rate;born;number;2009-2014
8;3;More than 36.6 weeks (term infants);Møre og Romsdal;1;Patients;1;Admissions;55.9;16118;901;rate;born;number;2009-2014
11;3;More than 36.6 weeks (term infants);Bergen/Førde;1;Patients;1;Admissions;44.1;37594;1658;rate;born;number;2009-2014
12;3;More than 36.6 weeks (term infants);Fonna;1;Patients;1;Admissions;83;11846;983;rate;born;number;2009-2014
13;3;More than 36.6 weeks (term infants);Stavanger;1;Patients;1;Admissions;71.2;27704;1972;rate;born;number;2009-2014
14;3;More than 36.6 weeks (term infants);Østfold;1;Patients;1;Admissions;66.2;17078;1131;rate;born;number;2009-2014
15;3;More than 36.6 weeks (term infants);AHUS;1;Patients;1;Admissions;58.3;32055;1868;rate;born;number;2009-2014
16;3;More than 36.6 weeks (term infants);OUS;1;Patients;1;Admissions;51.5;49765;2564;rate;born;number;2009-2014
19;3;More than 36.6 weeks (term infants);Innlandet;1;Patients;1;Admissions;49.4;20787;1026;rate;born;number;2009-2014
20;3;More than 36.6 weeks (term infants);Vestre Viken;1;Patients;1;Admissions;50.6;28225;1427;rate;born;number;2009-2014
21;3;More than 36.6 weeks (term infants);Vestfold;1;Patients;1;Admissions;115.7;12857;1488;rate;born;number;2009-2014
22;3;More than 36.6 weeks (term infants);Telemark;1;Patients;1;Admissions;96.8;9527;922;rate;born;number;2009-2014
23;3;More than 36.6 weeks (term infants);Sørlandet;1;Patients;1;Admissions;88;19630;1728;rate;born;number;2009-2014
8888;3;More than 36.6 weeks (term infants);Norway;1;Patients;1;Admissions;61.6;342249;21080;rate;born;number;2009-2014
2;4;All;UNN/Finnmark;1;Patients;1;Admissions;86.4;17771;1535;rate;born;number;2009-2014
4;4;All;Nordland;1;Patients;1;Admissions;98.7;13656;1348;rate;born;number;2009-2014
7;4;All;Trøndelag;1;Patients;1;Admissions;85.9;31692;2722;rate;born;number;2009-2014
8;4;All;Møre og Romsdal;1;Patients;1;Admissions;84.2;17140;1444;rate;born;number;2009-2014
11;4;All;Bergen/Førde;1;Patients;1;Admissions;72.3;40458;2924;rate;born;number;2009-2014
12;4;All;Fonna;1;Patients;1;Admissions;124.7;12964;1617;rate;born;number;2009-2014
